,name,category,lat,lng
0,Café Império,Bar,39.209374,-8.630684
1,Boutique do Chá,Tea Room,39.210251,-8.629609
2,Caffe Central,Café,39.209143,-8.629995
3,Casa de Chá Chic,Café,39.209287,-8.629253
4,3A É de Vez,Bar,39.209736,-8.631633
5,Bora Bora Bar,Beer Garden,39.21033,-8.62889
6,Rhefúgios Bar,Bar,39.208014,-8.628928
7,O Bago,Café,39.20719,-8.631291
8,Titanic,Bar,39.213075,-8.620401
9,Pastelaria Pão e Doce,Café,39.212976,-8.620281
10,Casa das Queijadas,Café,39.202235,-8.628022
11,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
12,Pastelaria Rainha,Café,39.211814,-8.619072
13,Ponto G,Café,39.213055,-8.619562
14,Cavalo Preto,Bar,39.201338,-8.62795
15,Garcia B Brito Apolónia,Café,39.209749,-8.63063
16,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
17,Café Império,Café,39.209929,-8.630951
18,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
19,Caffe Central,Bar,39.209094,-8.629936
20,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
21,Domitília M Aniceto Bento,Café,39.210379,-8.62895
22,Resto bar YA GO,Bar,39.208786,-8.630581
23,Pizzaria Avenida,Night Club,39.209693,-8.628727
24,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
25,Café Cine,Café,39.209693,-8.628727
26,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
27,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
28,Aida M Soares Conceição,Café,39.209693,-8.628727
29,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
30,Café Pirolito,Café,39.209644,-8.628668
31,Filipa Pinheiro & Fábio Dias,Bar,39.209541,-8.632009
32,Nunes & Dias,Bar,39.210279,-8.628216
33,"Julieta Mendes, Unipessoal",Art Restoration Service,39.209885,-8.632427
34,Georgina Alves Lopes,Café,39.210621,-8.62802
35,Duo S.A.,Event Service,39.212131,-8.630568
36,Bar 56,Arts and Entertainment,39.206617,-8.630799
37,Felismina A Maria Silva,Café,39.207727,-8.626031
38,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
39,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
40,Joaquina M Pires Cruz,Café,39.212829,-8.624791
41,António P Luís Fidalgo,Café,39.209299,-8.622947
42,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
43,Sousa & Neves,Night Club,39.204237,-8.626479
44,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
45,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
46,Tecniart,Tea Room,39.213948,-8.622787
47,Chapitas - Actividades Hoteleiras,Night Club,39.202822,-8.627817
48,Café Bar O Retiro,Café,39.208441,-8.620171
49,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
68,Rosa I Matias Meme,Café,39.203093,-8.621113
72,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
76,António M Figueiredo Hortelão,Café,39.205287,-8.618581
78,Fino's Caffé,Bar,39.207945,-8.618346
96,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
99,Rainha dos Bolos - Unipessoal,Café,39.202797,-8.61576
107,Dux Bar,Bar,39.21159,-8.615538
128,Café Baptista,Café,39.21012,-8.615282
129,Plano Água - Actividades Hoteleiras e Similares,Art Restoration Service,39.212943,-8.620139
130,Sexty_69_nine_bar,Bar,39.211379,-8.615996
132,Clorofila Bar em Almeirim,Bar,39.213067,-8.618251
